syll,unicode
A,
A1,
A10,
A11,
A12,
A13,
A14,
A15,
A16,
A17,
A18,
A19,
A2,
A20,
A21,
A22,
A23,
A24,
A25,
A26,
A27,
A28,
A29,
A3,
A30,
A4,
A5,
A6,
A7,
A8,
A9,
AB,
ABxA,
ABxHA,
AC,
AC2,
ACMAC,
AD,
AG,
AG2,
AGA,
AGRIG,
AH,
AJ,
AJ2,
AK,
AL,
ALAM,
ALAN,
AM,
AM3,
AMA,
AMAC,
AMAR,
AN,
ANCE,
ANki,
AO,
AfO,
Aga,
Agade,
Akcak,
Aki,
Akk,
Akkadian,
Amucen,
An,
Another,
Aratta,
At,
Atilde,
Attinger,
B,
B1,
B10,
B11,
B12,
B13,
B14,
B15,
B16,
B17,
B18,
B19,
B2,
B20,
B21,
B22,
B23,
B24,
B3,
B4,
B5,
B6,
B7,
B8,
B9,
BA,
BABBAR,
BAD,
BAD3,
BADmucen,
BAL,
BALAJ,
BANDA3,
BAR,
BARAG,
BARmucen,
BE,
BI,
BIL2,
BIR,
BU,
BUGIN,
BUL,
BULUG,
BULUJ3,
BUR,
BUR2,
Bau,
Behrens,
Bird,
Bull,
C,
CA,
CA3,
CAB,
CAG4,
CAG4xTAR,
CAH,
CAJ4,
CAR,
CAR2,
CAR2x30,
CE,
CE3,
CEC,
CECku6,
CECmucen,
CEG9,
CEN,
CI,
CID,
CIM,
CIMxPI,
CIMxUH3,
CIR,
CIR3,
CITA2,
CITA5,
CU,
CU2,
CUB,
CUL,
CUM2,
CUud,
Cylinder,
D,
DA,
DAG,
DAJAL,
DAM,
DAR,
DAki,
DAraquo,
DI,
DIB,
DIB2,
DIC,
DIJIR,
DIM,
DIM2,
DIM4,
DIMsar,
DIN,
DIRIG,
DU,
DU10,
DU3,
DU7,
DU8,
DUB,
DUB2,
DUG,
DUG3,
DUL,
DUL3,
DUMU,
DUN,
DUN3,
DUR,
DUR2,
DUmucen,
Dagan,
Dialogue,
Diatribe,
Due,
Dumuzid,
