Sign,Unicode,Transliteration,Keystrokes
𒈀,U+12200,LU2 x EŠ2,lu2.esh2
𒈁,U+12201,LU2 x EŠ2 tenû,lu2.esh2
𒎊,U+1238A,LU2 x EŠ2 + LAL,lu2.esh2.lal
𒈂,U+12202,LU2 x GAN2 tenû,lu2.gan2
𒈃,U+12203,LU2 x ḪI x BAD,lu2.hi.bad
𒈄,U+12204,LU2 x IM,lu2.im
𒈅,U+12205,LU2 x KAD2,lu2.kad2
𒈆,U+12206,LU2 x KAD3,lu2.kad3
𒈇,U+12207,LU2 x KAD3 + AŠ,lu2.kad3.ash
𒈈,U+12208,LU2 x KI,lu2.ki
𒈉,U+12209,LU2 x LA + AŠ,lu2.la.ash
𒈊,U+1220A,LU2 x LAGAB,lu2.lagab
𒈒,U+12212,LU2 crossing LU2,lu2.lu2
𒈓,U+12213,LU2 opposing LU2,lu2.lu2
𒈋,U+1220B,LU2 x ME + EN,lu2.me.en
𒈌,U+1220C,LU2 x NE,lu2.ne
𒈍,U+1220D,LU2 x NU,lu2.nu
𒎉,U+12389,LU2 ŠEŠIG x BAD,lu2.sheshig.bad
𒎋,U+1238B,LU2 x ŠU,lu2.shu
𒈎,U+1220E,LU2 x SI + AŠ,lu2.si.ash
𒈏,U+1220F,LU2 x SIK2 + BU,lu2.sik2.bu
𒈐,U+12210,LU2 x TUG2,lu2.tug2
𒈖,U+12216,LU3,lu3
𒈗,U+12217,LUGAL,lugal
𒈚,U+1221A,LUGAL šešig,lugal
𒈘,U+12218,LUGAL / LUGAL,lugal.lugal
𒈙,U+12219,LUGAL opposing LUGAL,lugal.lugal
𒈛,U+1221B,LUḪ,luh
𒈜,U+1221C,LUL,lul
𒈝,U+1221D,LUM,lum
𒈞,U+1221E,LUM / LUM,lum.lum
𒈟,U+1221F,LUM / LUM GAR / GAR,lum.lum.gar.gar
𒈠,U+12220,MA,ma
𒈢,U+12222,MA gunû,ma
𒈡,U+12221,MA x TAK4,ma.tak4
𒈣,U+12223,MA2,ma2
𒈤,U+12224,MAḪ,mah
𒈥,U+12225,MAR,mar
𒈦,U+12226,MAŠ,mash
𒈧,U+12227,MAŠ2,mash2
𒈨,U+12228,ME,me
𒈩,U+12229,MES,mes
𒎌,U+1238C,MEŠ,mesh
𒈪,U+1222A,MI,mi
𒈫,U+1222B,MIN,min
𒈬,U+1222C,MU,mu
𒈭,U+1222D,MU / MU,mu.mu
𒈯,U+1222F,MUG gunû,mug
𒈮,U+1222E,MUG,mug
𒈰,U+12230,MUNSUB,munsub
𒈱,U+12231,MURGU2,murgu2
𒈲,U+12232,MUŠ,mush
𒈳,U+12233,MUŠ x A,mush.a
𒈴,U+12234,MUŠ x KUR,mush.kur
𒈸,U+12238,MUŠ crossing MUŠ,mush.mush
𒈶,U+12236,MUŠ / MUŠ,mush.mush
𒈷,U+12237,MUŠ / MUŠ x A + NA,mush.mush.a.na
𒈵,U+12235,MUŠ x ZA,mush.za
𒈽,U+1223D,MUŠ3 gunû,mush3
𒈹,U+12239,MUŠ3,mush3
𒈺,U+1223A,MUŠ3 x A,mush3.a
𒈻,U+1223B,MUŠ3 x A + DI,mush3.a.di
𒈼,U+1223C,MUŠ3 x DI,mush3.di
𒎍,U+1238D,MUŠ3 x ZA,mush3.za
𒈾,U+1223E,,na
𒈿,U+1223F,NA2,na2
𒎎,U+1238E,NA4,na4
𒉁,U+12241,NAGA inverted,naga
𒉀,U+12240,NAGA,naga
𒉃,U+12243,NAGA opposing NAGA,naga.naga
𒉂,U+12242,NAGA x ŠU tenû,naga.shu
𒉄,U+12244,NAGAR,nagar
𒉆,U+12246,NAM,nam
𒉅,U+12245,NAM NUTILLU,nam.nutillu
𒉇,U+12247,NAM2,nam2
𒉈,U+12248,NE,ne
𒉋,U+1224B,NE šešig,ne
𒉉,U+12249,NE x A,ne.a
𒉊,U+1224A,NE x UD,ne.ud
𒉌,U+1224C,NI,ni
𒉍,U+1224D,NI x E,ni.e
𒉎,U+1224E,NI2,ni2
𒉏,U+1224F,NIM,nim
𒉐,U+12250,NIM x GAN2 tenû,nim.gan2
𒉑,U+12251,NIM x GAR + GAN2 tenû,nim.gar.gan2
𒎏,U+1238F,NIN,nin
𒎐,U+12390,NIN9,nin9
𒉒,U+12252,NINDA2,ninda2
𒉓,U+12253,NINDA2 x AN,ninda2.an
𒉔,U+12254,NINDA2 x AŠ,ninda2.ash
𒉕,U+12255,NINDA2 x AŠ + AŠ,ninda2.ash.ash
𒎑,U+12391,NINDA2 x BAL,ninda2.bal
𒎒,U+12392,NINDA2 x GI,ninda2.gi
𒉖,U+12256,NINDA2 x GUD,ninda2.gud
𒉗,U+12257,NINDA2 x ME + GAN2 tenû,ninda2.me.gan2
𒉘,U+12258,NINDA2 x NE,ninda2.ne
𒉙,U+12259,NINDA2 x NUN,ninda2.nun
𒉚,U+1225A,NINDA2 x ŠE,ninda2.she
𒉛,U+1225B,NINDA2 x ŠE + A AN,ninda2.she.a.an
𒉜,U+1225C,NINDA2 x ŠE + AŠ,ninda2.she.ash
𒉝,U+1225D,NINDA2 x ŠE + AŠ + AŠ,ninda2.she.ash.ash
𒉞,U+1225E,NINDA2 x U2 + AŠ,ninda2.u2.ash
𒉟,U+1225F,NINDA2 x UŠ,ninda2.ush
𒉠,U+12260,NISAG,nisag
𒉡,U+12261,NU,nu
𒎓,U+12393,NU11 rotated 90°,nu11
𒉢,U+12262,NU11,nu11
𒉣,U+12263,NUN,nun
𒉩,U+12269,NUN tenû,nun
𒉤,U+12264,NUN LAGAR x GAR,nun.lagar.gar
𒉥,U+12265,NUN LAGAR x MAŠ,nun.lagar.mash
𒉦,U+12266,NUN LAGAR x SAL,nun.lagar.sal
𒉧,U+12267,NUN LAGAR x SAL / NUN LAGAR x SAL,nun.lagar.sal.nun.lagar.sal
𒉨,U+12268,NUN LAGAR x UŠ,nun.lagar.ush
𒉪,U+1226A,NUN / NUN,nun.nun
𒉫,U+1226B,NUN crossing NUN,nun.nun
𒉬,U+1226C,NUN crossing NUN LAGAR / LAGAR,nun.nun.lagar.lagar
𒉭,U+1226D,NUNUZ,nunuz
𒉮,U+1226E,NUNUZ AB2 x AŠGAB,nunuz.ab2.ashgab
𒉯,U+1226F,NUNUZ AB2 x BI,nunuz.ab2.bi
𒉰,U+12270,NUNUZ AB2 x DUG,nunuz.ab2.dug
𒉱,U+12271,NUNUZ AB2 x GUD,nunuz.ab2.gud
𒉲,U+12272,NUNUZ AB2 x IGI gunû,nunuz.ab2.igi
𒉳,U+12273,NUNUZ AB2 x KAD3,nunuz.ab2.kad3
𒉴,U+12274,NUNUZ AB2 x LA,nunuz.ab2.la
𒉵,U+12275,NUNUZ AB2 x NE,nunuz.ab2.ne
𒉶,U+12276,NUNUZ AB2 x SILA3,nunuz.ab2.sila3
𒉷,U+12277,NUNUZ AB2 x U2,nunuz.ab2.u2
𒉸,U+12278,NUNUZ KISIM5 x BI,nunuz.kisim5.bi
𒉹,U+12279,NUNUZ KISIM5 x BI U,nunuz.kisim5.bi.u
𒉺,U+1227A,PA,pa
𒉻,U+1227B,PAD,pad
𒉼,U+1227C,PAN,pan
𒉽,U+1227D,PAP,pap
𒉾,U+1227E,PEŠ2,pesh2
𒎔,U+12394,PEŠ2*,pesh2
𒉿,U+1227F,PI,pi
𒊀,U+12280,PI x A,pi.a
𒊁,U+12281,PI x AB,pi.ab
𒊂,U+12282,PI x BI,pi.bi
𒊃,U+12283,PI x BU,pi.bu
𒊄,U+12284,PI x E,pi.e
𒊅,U+12285,PI x I,pi.i
𒊆,U+12286,PI x IB,pi.ib
𒊉,U+12289,PI crossing PI,pi.pi
𒊇,U+12287,PI x U,pi.u
𒊈,U+12288,PI x U2,pi.u2
𒎕,U+12395,PIR2,pir2
𒊊,U+1228A,PIRIG,pirig
𒊋,U+1228B,PIRIG x KAL,pirig.kal
𒊎,U+1228E,PIRIG opposing PIRIG,pirig.pirig
𒊌,U+1228C,PIRIG x UD,pirig.ud
𒊍,U+1228D,PIRIG x ZA,pirig.za
𒊏,U+1228F,RA,ra
𒊐,U+12290,RAB,rab
𒊑,U+12291,RI,ri
𒊒,U+12292,RU,ru
𒊓,U+12293,SA,sa
𒊕,U+12295,SAG,sag
𒊨,U+122A8,SAG gunû,sag
𒊖,U+12296,SAG x A,sag.a
𒊗,U+12297,SAG x DU,sag.du
𒊘,U+12298,SAG x DUB,sag.dub
𒊙,U+12299,SAG x ḪA,sag.ha
𒎖,U+12396,SAG x IGI gunû,sag.igi
𒊚,U+1229A,SAG x KAK,sag.kak
𒊛,U+1229B,SAG x KUR,sag.kur
𒊜,U+1229C,SAG x LUM,sag.lum
𒊝,U+1229D,SAG x MI,sag.mi
𒊞,U+1229E,SAG x NUN,sag.nun
𒊔,U+12294,SAG NUTILLU,sag.nutillu
𒊧,U+122A7,SAG / SAG,sag.sag
𒊟,U+1229F,SAG x SAL,sag.sal
𒊠,U+122A0,SAG x ŠID,sag.shid
𒊡,U+122A1,SAG x TAB,sag.tab
𒊢,U+122A2,SAG x U2,sag.u2
𒊣,U+122A3,SAG x UB,sag.ub
𒊤,U+122A4,SAG x UM,sag.um
𒊥,U+122A5,SAG x UR,sag.ur
𒊦,U+122A6,SAG x UŠ,sag.ush
𒊩,U+122A9,SAL,sal
𒊪,U+122AA,SAL LAGAB x AŠ2,sal.lagab.ash2
𒊫,U+122AB,SANGA2,sanga2
𒊬,U+122AC,SAR,sar
𒊭,U+122AD,ŠA,sha
𒊮,U+122AE,ŠA3,sha3
𒊯,U+122AF,ŠA3 x A,sha3.a
𒊰,U+122B0,ŠA3 x BAD,sha3.bad
𒊱,U+122B1,ŠA3 x GIŠ,sha3.gish
𒊲,U+122B2,ŠA3 x NE,sha3.ne
𒊳,U+122B3,ŠA3 x ŠU2,sha3.shu2
𒊴,U+122B4,ŠA3 x TUR,sha3.tur
𒊵,U+122B5,ŠA3 x U,sha3.u
𒊶,U+122B6,ŠA3 x U + A,sha3.u.a
𒊷,U+122B7,ŠA6,sha6
𒊸,U+122B8,ŠAB6,shab6
𒊹,U+122B9,ŠAR2,shar2
𒊺,U+122BA,ŠE,she
𒊻,U+122BB,ŠE ḪU,she.hu
𒊼,U+122BC,ŠE / ŠE GAD / GAD GAR / GAR,she.she.gad.gad.gar.gar
𒊽,U+122BD,ŠE / ŠE TAB / TAB GAR / GAR,she.she.tab.tab.gar.gar
𒊾,U+122BE,ŠEG9,sheg9
𒊿,U+122BF,ŠEN,shen
𒋀,U+122C0,ŠEŠ,shesh
𒋁,U+122C1,ŠEŠ2,shesh2
𒋂,U+122C2,ŠEŠLAM,sheshlam
𒋃,U+122C3,ŠID,shid
𒋄,U+122C4,ŠID x A,shid.a
𒋅,U+122C5,ŠID x IM,shid.im
𒋆,U+122C6,ŠIM,shim
𒋇,U+122C7,ŠIM x A,shim.a
𒋈,U+122C8,ŠIM x BAL,shim.bal
𒋉,U+122C9,ŠIM x BULUG,shim.bulug
𒋊,U+122CA,ŠIM x DIN,shim.din
𒋋,U+122CB,ŠIM x GAR,shim.gar
𒋍,U+122CD,ŠIM x IGI gunû,shim.igi
𒋌,U+122CC,ŠIM x IGI,shim.igi
𒋎,U+122CE,ŠIM x KUŠU2,shim.kushu2
𒋏,U+122CF,ŠIM x LUL,shim.lul
𒋐,U+122D0,ŠIM x MUG,shim.mug
𒋑,U+122D1,ŠIM x SAL,shim.sal
𒋒,U+122D2,ŠINIG,shinig
𒋓,U+122D3,ŠIR,shir
𒋔,U+122D4,ŠIR tenû,shir
𒋕,U+122D5,ŠIR / ŠIR BUR / BUR,shir.shir.bur.bur
𒋖,U+122D6,ŠITA,shita
𒋗,U+122D7,ŠU,shu
𒋘,U+122D8,ŠU / inverted ŠU,shu.shu
𒋙,U+122D9,ŠU2,shu2
𒋚,U+122DA,ŠUBUR,shubur
𒋛,U+122DB,SI,si
𒋜,U+122DC,SI gunû,si
𒋝,U+122DD,SIG,sig
𒋞,U+122DE,SIG4,sig4
𒋟,U+122DF,SIG4 / SIG4 ŠU2,sig4.sig4.shu2
𒋠,U+122E0,SIK2,sik2
𒋡,U+122E1,SILA3,sila3
𒋢,U+122E2,SU,su
𒋣,U+122E3,SU / SU,su.su
𒋤,U+122E4,SUD,sud
𒋥,U+122E5,SUD2,sud2
𒋦,U+122E6,SUḪUR,suhur
𒋧,U+122E7,SUM,sum
𒋨,U+122E8,SUMAŠ,sumash
𒋩,U+122E9,SUR,sur
𒋪,U+122EA,SUR9,sur9
𒋫,U+122EB,TA,ta
𒋬,U+122EC,TA*,ta
𒋯,U+122EF,TA gunû,ta
𒋭,U+122ED,TA x ḪI,ta.hi
𒋮,U+122EE,TA x MI,ta.mi
𒋰,U+122F0,TAB,tab
𒋲,U+122F2,TAB squared,tab
𒋱,U+122F1,TAB / TAB NI / NI DIŠ / DIŠ,tab.tab.ni.ni.dish.dish
𒋳,U+122F3,TAG,tag
𒋴,U+122F4,TAG x BI,tag.bi
𒋵,U+122F5,TAG x GUD,tag.gud
𒋶,U+122F6,TAG x ŠE,tag.she
𒋷,U+122F7,TAG x ŠU,tag.shu
𒋸,U+122F8,TAG x TUG2,tag.tug2
𒋹,U+122F9,TAG x UD,tag.ud
𒋺,U+122FA,TAK4,tak4
𒋻,U+122FB,TAR,tar
𒋼,U+122FC,TE,te
𒋽,U+122FD,TE gunû,te
𒋾,U+122FE,TI,ti
𒋿,U+122FF,TI tenû,ti
𒎗,U+12397,TI2,ti2
𒌀,U+12300,TIL,til
𒌁,U+12301,TIR,tir
𒌂,U+12302,TIR x TAK4,tir.tak4
𒌃,U+12303,TIR / TIR,tir.tir
𒌄,U+12304,TIR / TIR GAD / GAD GAR / GAR,tir.tir.gad.gad.gar.gar
𒌅,U+12305,TU,tu
𒌆,U+12306,TUG2,tug2
𒌇,U+12307,TUK,tuk
𒌈,U+12308,TUM,tum
𒌉,U+12309,TUR,tur
𒌊,U+1230A,TUR / TUR ZA / ZA,tur.tur.za.za
𒌋,U+1230B,U,u
𒌌,U+1230C,U GUD,u.gud
𒎙,U+12399,U U,u.u
𒌎,U+1230E,U / U PA / PA GAR / GAR,u.u.pa.pa.gar.gar
𒌏,U+1230F,U / U SUR / SUR,u.u.sur.sur
𒌍,U+1230D,U U U,u.u.u
𒌐,U+12310,U / U U reversed / U reversed,u.u.u.u
𒌑,U+12311,U2,u2
𒌒,U+12312,UB,ub
𒌓,U+12313,UD,ud
𒌚,U+1231A,UD šešig,ud
𒌙,U+12319,UD gunû,ud
𒌕,U+12315,UD x BAD,ud.bad
𒌛,U+1231B,UD šešig x BAD,ud.bad
𒌔,U+12314,UD KUŠU2,ud.kushu2
𒌖,U+12316,UD x MI,ud.mi
𒌘,U+12318,UD x U + U + U gunû,ud.u.u.u
𒌗,U+12317,UD x U + U + U,ud.u.u.u
𒌜,U+1231C,UDUG,udug
𒌝,U+1231D,UM,um
𒌞,U+1231E,UM x LAGAB,um.lagab
𒎘,U+12398,UM x ME,um.me
𒌟,U+1231F,UM x ME + DA,um.me.da
𒌠,U+12320,UM x ŠA3,um.sha3
𒌡,U+12321,UM x U,um.u
𒌢,U+12322,UMBIN,umbin
𒌣,U+12323,UMUM,umum
𒌤,U+12324,UMUM x KASKAL,umum.kaskal
𒌥,U+12325,UMUM x PA,umum.pa
𒌧,U+12327,UN gunû,un
𒌦,U+12326,UN,un
𒌨,U+12328,UR,ur
𒌪,U+1232A,UR šešig,ur
𒌩,U+12329,UR crossing UR,ur.ur
𒌫,U+1232B,UR2,ur2
𒌬,U+1232C,UR2 x A + ḪA,ur2.a.ha
𒌭,U+1232D,UR2 x A + NA,ur2.a.na
𒌮,U+1232E,UR2 x AL,ur2.al
𒌯,U+1232F,UR2 x ḪA,ur2.ha
𒌰,U+12330,UR2 x NUN,ur2.nun
𒌱,U+12331,UR2 x U2,ur2.u2
𒌲,U+12332,UR2 x U2 + AŠ,ur2.u2.ash
𒌳,U+12333,UR2 x U2 + BI,ur2.u2.bi
𒌴,U+12334,UR4,ur4
𒌵,U+12335,URI,uri
𒌶,U+12336,URI3,uri3
𒌷,U+12337,URU,uru
𒌸,U+12338,URU x A,uru.a
𒌹,U+12339,URU x AŠGAB,uru.ashgab
𒌺,U+1233A,URU x BAR,uru.bar
𒌻,U+1233B,URU x DUN,uru.dun
𒌼,U+1233C,URU x GA,uru.ga
𒌽,U+1233D,URU x GAL,uru.gal
𒌾,U+1233E,URU x GAN2 tenû,uru.gan2
𒌿,U+1233F,URU x GAR,uru.gar
𒍀,U+12340,URU x GU,uru.gu
𒍁,U+12341,URU x ḪA,uru.ha
𒍂,U+12342,URU x IGI,uru.igi
𒍃,U+12343,URU x IM,uru.im
𒍄,U+12344,URU x IŠ,uru.ish
𒍅,U+12345,URU x KI,uru.ki
𒍆,U+12346,URU x LUM,uru.lum
𒍇,U+12347,URU x MIN,uru.min
𒍈,U+12348,URU x PA,uru.pa
𒍉,U+12349,URU x ŠE,uru.she
𒍊,U+1234A,URU x SIG4,uru.sig4
𒍋,U+1234B,URU x TU,uru.tu
𒍌,U+1234C,URU x U + GUD,uru.u.gud
𒍍,U+1234D,URU x UD,uru.ud
𒍎,U+1234E,URU x URUDA,uru.uruda
𒍏,U+1234F,URUDA,uruda
𒍐,U+12350,URUDA x U,uruda.u
𒍑,U+12351,UŠ,ush
𒍒,U+12352,UŠ x A,ush.a
𒍓,U+12353,UŠ x KU,ush.ku
𒍔,U+12354,UŠ x KUR,ush.kur
𒍕,U+12355,UŠ x TAK4,ush.tak4
𒍗,U+12357,UŠ2,ush2
𒍘,U+12358,UŠUMX,ushumx
𒍖,U+12356,UŠX,ushx
𒍙,U+12359,UTUKI,utuki
𒍚,U+1235A,UZ3,uz3
𒍛,U+1235B,UZ3 x KASKAL,uz3.kaskal
𒍜,U+1235C,UZU,uzu
𒍝,U+1235D,ZA,za
𒍞,U+1235E,ZA tenû,za
𒍟,U+1235F,ZA squared x KUR,za.kur
𒍠,U+12360,ZAG,zag
𒍡,U+12361,ZAMX,zamx
𒍢,U+12362,ZE2,ze2
𒍣,U+12363,ZI,zi
𒍤,U+12364,ZI / ZI,zi.zi
𒍥,U+12365,ZI3,zi3
𒍦,U+12366,ZIB,zib
𒍧,U+12367,ZIB KABA tenû,zib.kaba
𒍨,U+12368,ZIG,zig
𒍩,U+12369,ZIZ2,ziz2
𒍪,U+1236A,ZU,zu
𒍫,U+1236B,ZU5,zu5
𒍬,U+1236C,ZU5 x A,zu5.a
𒍭,U+1236D,ZUBUR,zubur
𒍮,U+1236E,ZUM,zum
