Sign,Unicode,Transliteration,Keystrokes
𒁵,U+12075,DIM x ŠE,dim.she
𒁶,U+12076,DIM2,dim2
𒁷,U+12077,DIN,din
𒁸,U+12078,DIN KASKAL U gunû DIŠ,din.kaskal.u.dish
𒁹,U+12079,DIŠ,dish
𒍵,U+12375,DIŠ + ŠU,dish.shu
𒁼,U+1207C,DU gunû,du
𒁽,U+1207D,DU šešig,du
𒁺,U+1207A,DU,du
𒁻,U+1207B,DU / DU,du.du
𒁾,U+1207E,DUB,dub
𒁿,U+1207F,DUB x EŠ2,dub.esh2
𒍶,U+12376,DUB x ŠE,dub.she
𒂀,U+12080,DUB2,dub2
𒂁,U+12081,DUG,dug
𒂂,U+12082,DUGUD,dugud
𒂃,U+12083,DUḪ,duh
𒂄,U+12084,DUN,dun
𒂅,U+12085,DUN3,dun3
𒂇,U+12087,DUN3 gunû gunû,dun3
𒂆,U+12086,DUN3 gunû,dun3
𒂈,U+12088,DUN4,dun4
𒂉,U+12089,DUR2,dur2
𒂊,U+1208A,E,e
𒂌,U+1208C,E / E NUN / NUN,e.e.nun.nun
𒂋,U+1208B,E x PAP,e.pap
𒂍,U+1208D,E2,e2
𒂎,U+1208E,E2 x A + ḪA + DA,e2.a.ha.da
𒂏,U+1208F,E2 x GAR,e2.gar
𒂐,U+12090,E2 x MI,e2.mi
𒂑,U+12091,E2 x SAL,e2.sal
𒂒,U+12092,E2 x ŠE,e2.she
𒂓,U+12093,E2 x U,e2.u
𒂔,U+12094,EDIN,edin
𒂕,U+12095,EGIR,egir
𒂖,U+12096,EL,el
𒂗,U+12097,EN,en
𒂝,U+1209D,EN squared,en
𒂜,U+1209C,EN opposing EN,en.en
𒂛,U+1209B,EN crossing EN,en.en
𒂙,U+12099,EN x GAN2 tenû,en.gan2
𒂘,U+12098,EN x GAN2,en.gan2
𒂚,U+1209A,EN x ME,en.me
𒂞,U+1209E,EREN,eren
𒂟,U+1209F,ERIN2,erin2
𒂠,U+120A0,EŠ2,esh2
𒂡,U+120A1,EZEN,ezen
𒂢,U+120A2,EZEN x A,ezen.a
𒂣,U+120A3,EZEN x A + LAL,ezen.a.lal
𒂤,U+120A4,EZEN x A + LAL x LAL,ezen.a.lal.lal
𒂥,U+120A5,EZEN x AN,ezen.an
